OTUnumber	SAMPLE.271.GP.6.15	SAMPLE.381.MA5.30	SAMPLE.337.GA7.90	SAMPLE.399.MF.II6.30	SAMPLE.393.MP.7.30	SAMPLE.269.GP.5.15	SAMPLE.435.MA8.90	SAMPLE.433.MA7.90	SAMPLE.409.MA7.60	SAMPLE.397.MF.II.5.30	SAMPLE.355.GF.II.8.90	SAMPLE.389.MP.5.30	SAMPLE.415.MP.6.60	SAMPLE.373.MF.II.5.15	SAMPLE.413.MP.5.60	SAMPLE.287.GA6.30	SAMPLE.331.GF.II.8.60	SAMPLE.375.MF.II6.15	SAMPLE.427.MF.II.8.60	SAMPLE.383.MA6.30	SAMPLE.265.GA7.15	SAMPLE.359.MA6.15	SAMPLE.443.MP.8.90	SAMPLE.305.GF.II.7.30	SAMPLE.315.GA8.60	SAMPLE.319.GP.6.60	SAMPLE.349.GF.II.5.90	SAMPLE.371.MP.8.15	SAMPLE.279.GF.II6.15	SAMPLE.407.MA6.60	SAMPLE.431.MA6.90	SAMPLE.451.MF.II.8.90	SAMPLE.281.GF.II.7.15	SAMPLE.303.GF.II6.30	SAMPLE.453.16S.negative	SAMPLE.369.MP.7.15	SAMPLE.439.MP.6.90	SAMPLE.379.MF.II.8.15	SAMPLE.317.GP.5.60	SAMPLE.261.GA5.15	SAMPLE.395.MP.8.30	SAMPLE.387.MA8.30	SAMPLE.339.GA8.90	SAMPLE.385.MA7.30	SAMPLE.325.GF.II.5.60	SAMPLE.351.GF.II6.90	SAMPLE.327.GF.II6.60	SAMPLE.449.MF.II.7.90	SAMPLE.421.MF.II.5.60	SAMPLE.299.GP.8.30	SAMPLE.437.MP.5.90	SAMPLE.307.GF.II.8.30	SAMPLE.277.GF.II.5.15	SAMPLE.401.MF.II.7.30	SAMPLE.357.MA5.15	SAMPLE.417.MP.7.60	SAMPLE.289.GA7.30	SAMPLE.425.MF.II.7.60	SAMPLE.263.GA6.15	SAMPLE.301.GF.II.5.30	SAMPLE.447.MF.II6.90	SAMPLE.429.MA5.90	SAMPLE.273.GP.7.15	SAMPLE.377.MF.II.7.15	SAMPLE.411.MA8.60	SAMPLE.367.MP.6.15	SAMPLE.405.MA5.60	SAMPLE.309.GA5.60	SAMPLE.423.MF.II6.60	SAMPLE.283.GF.II.8.15	SAMPLE.403.MF.II.8.30	SAMPLE.335.GA6.90	SAMPLE.295.GP.6.30	SAMPLE.293.GP.5.30	SAMPLE.329.GF.II.7.60	SAMPLE.347.GP.8.90	SAMPLE.441.MP.7.90	SAMPLE.285.GA5.30	SAMPLE.361.MA7.15	SAMPLE.333.GA5.90	SAMPLE.445.MF.II.5.90	SAMPLE.297.GP.7.30	SAMPLE.321.GP.7.60	SAMPLE.291.GA8.30	SAMPLE.365.MP.5.15	SAMPLE.343.GP.6.90	SAMPLE.341.GP.5.90	SAMPLE.323.GP.8.60	SAMPLE.267.GA8.15	SAMPLE.363.MA8.15	SAMPLE.311.GA6.60	SAMPLE.345.GP.7.90	SAMPLE.391.MP.6.30	SAMPLE.353.GF.II.7.90	SAMPLE.419.MP.8.60	SAMPLE.275.GP.8.15	SAMPLE.313.GA7.60	domain_id	domain_conf	phylum_id	phylum_conf	class_id	class_conf	order_id	order_conf	family_id	family_conf	genus_id	genus_conf
OTU_1	1	142	47	189	178	148	202	233	172	94	47	271	89	89	103	117	282	108	152	114	263	84	123	201	223	15	3	239	249	36	51	122	79	4	0	141	56	29	48	146	162	39	52	250	0	70	163	104	176	15	13	16	1	159	122	213	156	279	22	1	231	79	37	107	202	289	202	78	36	145	373	229	6	123	203	54	261	112	183	68	219	146	116	151	129	7	88	142	108	136	61	46	94	159	119	189	44	Bacteria	100.0	Cyanobacteria	100.0	Chloroplast	100.0	Chloroplast_unclassified	100.0	Chloroplast_unclassified	100.0	Chloroplast_unclassified	100.0
OTU_2	0	442	4	6	107	11	484	642	248	6	1	44	12	6	52	10	16	11	39	197	19	267	14	16	22	1	0	27	12	142	201	69	7	0	0	65	7	15	1	10	17	143	6	662	0	7	18	29	8	1	4	0	0	57	315	146	12	125	1	0	11	311	1	82	461	15	477	2	4	9	70	17	1	4	20	5	119	6	523	2	15	9	12	13	29	1	1	11	5	514	6	5	10	8	14	14	6	Archaea	100.0	Thaumarchaeota	100.0	Soil_Crenarchaeotic_Group	NA	Unknown_Order	61.0	Unknown_Family	61.0	Candidatus_Nitrososphaera	61.0
OTU_3	0	95	78	294	134	382	59	110	42	216	36	193	124	229	111	107	240	204	140	58	220	78	111	178	191	39	2	221	401	28	40	250	89	2	0	71	68	105	89	183	151	22	143	166	0	94	243	139	380	96	23	22	0	271	66	128	99	332	30	0	247	56	87	518	73	283	76	56	143	124	340	191	1	327	233	92	122	102	143	59	461	256	437	124	141	43	212	221	126	99	44	261	60	267	117	284	39	Bacteria	100.0	Proteobacteria	100.0	Alphaproteobacteria	100.0	Rhizobiales	100.0	Bradyrhizobiaceae	100.0	Bradyrhizobium	100.0
OTU_4	0	104	44	418	208	162	85	153	67	293	3	204	188	256	161	95	48	278	157	68	98	80	128	28	108	41	3	266	61	36	53	281	17	0	0	169	90	105	51	139	199	29	92	145	0	26	39	140	503	71	23	3	0	232	81	287	46	430	16	1	326	80	50	547	102	359	84	46	251	24	373	148	0	164	56	81	217	80	125	60	610	170	320	67	123	37	122	195	68	101	26	150	80	20	152	186	29	Bacteria	100.0	Proteobacteria	100.0	Alphaproteobacteria	100.0	Rhizobiales	100.0	Hyphomicrobiaceae	85.0	Rhodoplanes	85.0
OTU_5	0	760	10	29	468	10	436	503	325	12	3	170	584	8	135	31	33	10	23	320	28	296	234	24	83	2	0	538	35	141	186	26	5	0	0	280	197	10	2	52	422	198	29	915	0	6	12	31	23	7	10	4	0	83	389	484	21	98	4	0	30	340	6	63	624	678	562	20	7	16	66	35	0	5	23	7	406	37	612	19	24	27	36	36	117	0	14	23	30	722	7	13	215	16	428	23	8	Archaea	100.0	Thaumarchaeota	100.0	Soil_Crenarchaeotic_Group	NA	Soil_Crenarchaeotic_Group	NA	Soil_Crenarchaeotic_Group	NA	Soil_Crenarchaeotic_Group	NA
OTU_6	0	156	47	211	192	67	136	181	97	143	1	162	161	105	121	78	25	109	71	99	108	110	120	14	120	10	0	309	22	48	71	88	8	0	0	130	78	34	16	133	211	51	81	216	0	2	14	51	218	34	14	4	0	102	113	191	63	162	26	0	123	110	32	170	158	309	156	50	100	14	121	106	0	61	22	37	152	71	175	42	216	97	173	71	108	15	48	85	59	150	27	84	78	14	180	78	29	Bacteria	100.0	Proteobacteria	100.0	Alphaproteobacteria	100.0	Rhizobiales	100.0	Hyphomicrobiaceae	79.0	Hyphomicrobium	79.0
OTU_7	1	71	45	898	183	205	57	88	40	720	5	97	218	458	46	79	38	389	111	53	165	63	124	20	209	54	0	318	41	30	26	173	10	0	0	119	106	54	81	84	256	28	105	107	0	14	27	98	1072	106	14	2	0	288	54	202	103	381	19	0	476	33	83	417	80	391	56	36	422	17	345	110	2	253	27	88	175	65	97	42	1179	303	539	104	55	58	137	290	75	61	54	209	111	20	181	248	53	Bacteria	100.0	Verrucomicrobia	100.0	Spartobacteria	100.0	Chthoniobacterales	100.0	DA101_soil_group	100.0	DA101_soil_group_unclassified	100.0
OTU_8	0	169	2	186	47	6	107	164	70	111	0	12	20	67	11	23	8	112	102	78	11	104	19	6	15	1	0	65	7	32	75	168	2	0	0	41	7	71	6	60	50	37	4	205	0	3	5	34	131	6	1	1	0	110	104	39	7	165	7	0	102	79	0	277	102	42	112	15	78	6	310	21	0	10	10	2	43	36	198	20	174	6	11	2	3	1	9	7	3	150	3	3	11	4	36	12	1	Bacteria	100.0	Bacteroidetes	100.0	Sphingobacteriia	100.0	Sphingobacteriales	100.0	Chitinophagaceae	100.0	Terrimonas	64.0
OTU_9	0	138	6	202	110	27	121	149	64	81	1	54	101	85	37	29	8	108	43	66	31	94	68	11	29	2	0	194	7	45	58	79	3	0	0	89	48	32	11	65	155	44	13	170	0	2	12	38	154	16	7	1	0	88	116	120	14	108	5	0	103	82	8	163	105	161	117	13	77	4	112	40	1	24	10	20	101	32	154	25	182	44	61	19	32	3	25	30	21	137	6	27	48	7	84	39	6	Bacteria	100.0	Proteobacteria	100.0	Deltaproteobacteria	100.0	GR-WP33-30	100.0	GR-WP33-30_unclassified	100.0	GR-WP33-30_unclassified	100.0
OTU_10	1	80	70	40	132	105	84	158	38	11	13	85	214	11	60	46	122	20	23	41	162	58	125	35	127	55	0	320	13	23	29	40	8	0	0	86	124	19	44	160	264	26	78	162	0	6	10	33	30	75	10	13	0	43	65	142	81	67	12	0	29	50	50	98	57	433	60	36	7	38	51	85	2	66	36	120	133	89	127	36	43	103	365	76	52	65	88	262	63	90	37	153	99	36	183	174	42	Bacteria	100.0	Firmicutes	100.0	Bacilli	100.0	Bacillales	100.0	Planococcaceae	91.0	Incertae_Sedis	78.0
