OTUnumber	SAMPLE.837.MF.II.7.30	SAMPLE.733.GP.7.30	SAMPLE.881.MF.II.5.90	SAMPLE.741.GF.II.7.30	SAMPLE.771.GA6.90	SAMPLE.709.GP.7.15	SAMPLE.705.GP.5.15	SAMPLE.861.MF.II.7.60	SAMPLE.777.GP.5.90	SAMPLE.729.GP.5.30	SAMPLE.757.GP.7.60	SAMPLE.793.MA5.15	SAMPLE.727.GA8.30	SAMPLE.711.GP.8.15	SAMPLE.699.GA6.15	SAMPLE.799.MA8.15	SAMPLE.783.GP.8.90	SAMPLE.721.GA5.30	SAMPLE.745.GA5.60	SAMPLE.779.GP.6.90	SAMPLE.873.MP.5.90	SAMPLE.781.GP.7.90	SAMPLE.827.MP.6.30	SAMPLE.879.MP.8.90	SAMPLE.877.MP.7.90	SAMPLE.801.MP.5.15	SAMPLE.743.GF.II.8.30	SAMPLE.875.MP.6.90	SAMPLE.795.MA6.15	SAMPLE.811.MF.II6.15	SAMPLE.851.MP.6.60	SAMPLE.725.GA7.30	SAMPLE.891.ITS.negative	SAMPLE.803.MP.6.15	SAMPLE.863.MF.II.8.60	SAMPLE.805.MP.7.15	SAMPLE.739.GF.II6.30	SAMPLE.833.MF.II.5.30	SAMPLE.821.MA7.30	SAMPLE.717.GF.II.7.15	SAMPLE.839.MF.II.8.30	SAMPLE.763.GF.II6.60	SAMPLE.759.GP.8.60	SAMPLE.747.GA6.60	SAMPLE.735.GP.8.30	SAMPLE.831.MP.8.30	SAMPLE.817.MA5.30	SAMPLE.849.MP.5.60	SAMPLE.857.MF.II.5.60	SAMPLE.769.GA5.90	SAMPLE.723.GA6.30	SAMPLE.761.GF.II.5.60	SAMPLE.825.MP.5.30	SAMPLE.703.GA8.15	SAMPLE.773.GA7.90	SAMPLE.767.GF.II.8.60	SAMPLE.697.GA5.15	SAMPLE.841.MA5.60	SAMPLE.755.GP.6.60	SAMPLE.731.GP.6.30	SAMPLE.869.MA7.90	SAMPLE.819.MA6.30	SAMPLE.835.MF.II6.30	SAMPLE.753.GP.5.60	SAMPLE.785.GF.II.5.90	SAMPLE.829.MP.7.30	SAMPLE.815.MF.II.8.15	SAMPLE.707.GP.6.15	SAMPLE.865.MA5.90	SAMPLE.853.MP.7.60	SAMPLE.885.MF.II.7.90	SAMPLE.823.MA8.30	SAMPLE.813.MF.II.7.15	SAMPLE.751.GA8.60	SAMPLE.867.MA6.90	SAMPLE.807.MP.8.15	SAMPLE.797.MA7.15	SAMPLE.737.GF.II.5.30	SAMPLE.719.GF.II.8.15	SAMPLE.871.MA8.90	SAMPLE.713.GF.II.5.15	SAMPLE.847.MA8.60	SAMPLE.765.GF.II.7.60	SAMPLE.809.MF.II.5.15	SAMPLE.845.MA7.60	SAMPLE.887.MF.II.8.90	SAMPLE.859.MF.II6.60	SAMPLE.787.GF.II6.90	SAMPLE.715.GF.II6.15	SAMPLE.855.MP.8.60	SAMPLE.749.GA7.60	SAMPLE.791.GF.II.8.90	SAMPLE.883.MF.II6.90	SAMPLE.775.GA8.90	SAMPLE.843.MA6.60	SAMPLE.789.GF.II.7.90	SAMPLE.701.GA7.15	domain_id	domain_conf	kingdom_id	kingdom_conf	phylum_id	phylum_conf	class_id	class_conf	order_id	order_conf	family_id	family_conf	genus_id	genus_conf
OTU_1	18	27	28	273	28	8	10	51	20	6	13	10	24	4	6	6	11	25	19	3	2	18	13	10	7	20	880	16	7	10	9	15	0	17	21	1	19	25	25	672	24	39	12	6	6	27	24	20	36	19	32	1924	33	15	13	6	14	23	13	3	20	20	26	21	10054	20	19	4	17	20	8	13	8	26	2	5	10	1	885	23	1944	36	1470	9	30	20	36	31	17	26	6	1422	25	0	5	1008	5	Eukaryota	100.0	Fungi	100.0	Ascomycota	100.0	Eurotiomycetes	100.0	Eurotiales	100.0	Elaphomycetaceae	100.0	Elaphomyces	100.0
OTU_2	389	255	348	4	20	65	63	831	401	109	459	22	44	110	7	15	215	37	16	138	10	576	31	18	6	29	13	39	25	92	62	11	0	23	508	8	5	234	24	3	515	16	142	20	121	23	32	31	617	10	18	5	46	11	26	3	15	27	87	35	47	25	460	801	23	15	514	80	21	21	227	18	1255	37	15	6	17	2	1	21	6	65	24	139	20	715	275	16	6	43	15	17	124	6	15	7	7	Eukaryota	100.0	Fungi	100.0	Ascomycota	100.0	Eurotiomycetes	100.0	Eurotiales	100.0	Trichocomaceae	100.0	Paecilomyces	100.0
OTU_3	7	23	12	1	8	1	6	10	6	4	14	304	9	63	5	61	152	50	2	1	49	40	273	195	51	165	5	216	77	6	386	2	0	246	7	12	4	5	152	3	9	10	97	2	69	1207	220	196	5	53	8	6	191	4	9	1	1	69	5	0	38	280	10	8	4	131	5	0	84	226	0	96	4	8	39	69	43	0	5	182	10	430	10	3	18	3	3	4	3	669	0	4	8	2	20	3	4	Eukaryota	100.0	Fungi	100.0	Ascomycota	78.0	Pezizomycetes	65.0	Pezizales	65.0	Pyronemataceae	63.0	Pyronema	61.0
OTU_4	5	7	4	1	4	2	1	15	3	0	1	3	7	3	2	3	1	8	4	1	0	1	4	3	4	5	79	6	4	3	5	2	0	5	4	2	1345	12	15	4	11	1743	4	7	2	4	2	5	9	4	4	27	7	3	7	2	1	10	6	1	6	5	12	6	92	6	1	0	2	5	2	3	4	5	1	0	6	1	115	5	6	10	11	4	9	1	5	1277	962	4	2	75	8	2	2	8	3	Eukaryota	100.0	Fungi	100.0	Basidiomycota	100.0	Agaricomycetes	100.0	Russulales	100.0	Russulaceae	100.0	Russula	100.0
OTU_5	7	9	867	3	9	1	3	11	10	0	5	7	8	5	1	2	5	6	5	2	0	3	9	5	3	6	2	5	1	3	4	2	0	4	879	1	3	799	8	0	576	6	10	0	3	1	6	6	746	7	10	1	3	2	3	1	4	10	4	2	3	4	6	6	7	2	769	1	2	7	0	1	4	4	3	1	3	0	7	6	0	7	6	496	4	106	4	5	5	3	1	3	5	0	2	1	1	Eukaryota	100.0	Fungi	100.0	Basidiomycota	100.0	Agaricomycetes	100.0	Atheliales	100.0	Atheliaceae	100.0	Piloderma	100.0
OTU_6	975	6	4	2	6	2	7	1549	4	2	2	2	9	1	1	1	2	5	7	1	1	9	4	4	9	10	2	2	2	3	7	4	0	3	5	1	7	5	12	2	3	4	9	1	2	9	9	3	8	4	2	6	6	1	3	2	6	7	2	0	7	8	6	7	11	4	6	1	3	13	134	9	1982	9	4	0	0	0	5	3	2	8	9	5	14	5	15	7	4	6	3	6	7	0	1	3	1	Eukaryota	100.0	Fungi	100.0	Basidiomycota	100.0	Agaricomycetes	100.0	Thelephorales	100.0	Thelephoraceae	100.0	Tomentella	99.0
OTU_7	15	5	5	1	114	30	3	13	4	0	23	9	541	5	88	1	9	230	99	0	3	3	13	2	0	5	2	1	27	5	5	290	0	23	3	1	3	5	7	0	3	3	6	237	5	22	45	5	8	260	240	2	8	337	532	1	121	16	5	1	13	5	9	7	10	5	3	2	92	2	2	16	3	355	2	3	8	0	6	8	0	10	3	4	176	5	9	8	2	44	174	3	3	94	0	2	190	Eukaryota	100.0	Fungi	100.0	Ascomycota	68.0	Ascomycota_unclassified	68.0	Ascomycota_unclassified	68.0	Ascomycota_unclassified	68.0	Ascomycota_unclassified	68.0
OTU_8	125	79	186	0	37	36	23	212	97	33	73	10	59	31	10	9	38	49	19	25	2	120	4	8	6	26	1	8	19	80	9	24	0	5	54	4	3	125	22	0	64	7	26	36	28	12	21	20	223	11	16	1	19	43	54	1	30	18	37	8	17	14	188	95	7	10	79	29	18	20	47	13	313	74	8	4	16	0	2	25	0	19	5	79	18	88	215	12	2	13	24	2	103	15	2	3	23	Eukaryota	100.0	Fungi	100.0	Ascomycota	100.0	Eurotiomycetes	100.0	Chaetothyriales	100.0	Herpotrichiellaceae	100.0	Exophiala	100.0
OTU_9	5	5	5	1	10	0	2	4	5	0	1	7	4	1	3	4	3	6	0	1	0	3	0	1	1	5	302	4	1	3	2	3	0	2	2	1	495	6	8	1	2	736	4	3	4	3	6	4	3	2	1	4	4	3	2	2	3	8	1	1	7	2	6	4	9	5	1	0	1	7	1	4	1	7	2	1	4	0	212	4	0	5	9	3	3	1	5	319	494	5	3	465	4	0	0	4	1	Eukaryota	100.0	Fungi	100.0	Basidiomycota	100.0	Agaricomycetes	100.0	Atheliales	100.0	Atheliaceae	100.0	Tylospora	100.0
OTU_10	5	163	13	0	7	187	68	7	149	32	170	7	631	115	5	1	186	14	6	98	0	174	30	13	12	4	4	32	0	8	77	62	0	67	4	6	2	12	60	3	5	1	99	58	201	34	2	4	20	20	14	1	11	71	56	0	10	4	70	30	8	8	22	73	1	24	2	182	0	20	1	1	11	218	0	5	0	0	0	6	1	2	6	2	5	2	11	4	4	33	54	5	9	35	3	1	31	Eukaryota	100.0	Fungi	100.0	Ascomycota	100.0	Leotiomycetes	55.0	Helotiales	55.0	Helotiales_Incertae_sedis	55.0	Leptodontidium	55.0
