SAMPLE.309.GA5.60 SAMPLE.311.GA6.60 SAMPLE.313.GA7.60 SAMPLE.315.GA8.60 SAMPLE.317.GP.5.60 SAMPLE.319.GP.6.60 SAMPLE.321.GP.7.60 SAMPLE.323.GP.8.60 SAMPLE.327.GF.II6.60 SAMPLE.329.GF.II.7.60 SAMPLE.331.GF.II.8.60 SAMPLE.405.MA5.60 SAMPLE.407.MA6.60 SAMPLE.409.MA7.60 SAMPLE.411.MA8.60 SAMPLE.413.MP.5.60 SAMPLE.415.MP.6.60 SAMPLE.417.MP.7.60 SAMPLE.419.MP.8.60 SAMPLE.421.MF.II.5.60 SAMPLE.423.MF.II6.60 SAMPLE.425.MF.II.7.60 SAMPLE.427.MF.II.8.60
OTU_1 78 61 44 223 48 15 116 142 163 203 282 202 36 172 202 103 89 213 119 176 36 279 152
OTU_2 2 6 6 22 1 1 12 11 18 20 16 477 142 248 461 52 12 146 14 8 4 125 39
OTU_3 56 44 39 191 89 39 437 221 243 233 240 76 28 42 73 111 124 128 117 380 143 332 140
OTU_4 46 26 29 108 51 41 320 195 39 56 48 84 36 67 102 161 188 287 152 503 251 430 157
OTU_5 20 7 8 83 2 2 36 23 12 23 33 562 141 325 624 135 584 484 428 23 7 98 23
OTU_6 50 27 29 120 16 10 173 85 14 22 25 156 48 97 158 121 161 191 180 218 100 162 71
OTU_7 36 54 53 209 81 54 539 290 27 27 38 56 30 40 80 46 218 202 181 1072 422 381 111
OTU_8 15 3 1 15 6 1 11 7 5 10 8 112 32 70 102 11 20 39 36 131 78 165 102
OTU_9 13 6 6 29 11 2 61 30 12 10 8 117 45 64 105 37 101 120 84 154 77 108 43
OTU_10 36 37 42 127 44 55 365 262 10 36 122 60 23 38 57 60 214 142 183 30 7 67 23
OTU_11 16 8 5 40 10 8 87 32 14 14 17 227 72 124 195 98 121 222 109 424 233 370 104
OTU_12 4 6 2 15 4 1 6 12 10 18 9 356 91 168 329 237 53 269 47 8 3 95 27
OTU_13 1 4 8 28 2 3 10 12 578 631 1090 6 2 7 13 9 3 9 7 8 5 9 2
OTU_14 47 6 4 35 1 2 72 17 5 11 6 94 36 51 75 16 9 13 23 7 4 10 6
OTU_15 17 15 18 116 9 0 127 41 2 2 6 46 16 25 20 77 152 76 101 7 3 11 9
OTU_16 33 6 7 41 8 10 66 40 6 8 13 60 16 35 58 141 74 76 49 136 50 230 87
OTU_17 4 30 37 101 1 2 5 6 1 88 327 2 1 6 1 4 1 5 5 3 2 10 1
OTU_18 9 2 1 4 1 0 1 3 1 7 10 175 58 84 147 140 17 66 17 8 2 35 16
OTU_19 5 10 9 21 35 12 60 56 98 399 208 8 2 3 5 3 22 11 19 79 35 43 16
OTU_20 8 3 6 10 1 1 55 18 1 2 4 5 8 7 14 28 97 92 116 82 37 72 26
OTU_21 21 29 27 123 24 11 282 106 6 5 5 5 0 10 7 3 11 4 5 1 2 6 0
OTU_22 4 8 8 28 8 4 10 11 498 571 549 10 0 10 9 6 1 8 6 3 3 16 4
OTU_23 9 13 12 42 19 10 51 27 146 338 324 6 2 3 1 3 3 6 8 13 4 6 5
OTU_24 6 6 1 11 2 1 11 10 4 8 3 20 7 12 14 2 60 81 37 86 43 115 31
OTU_25 2 1 6 28 6 4 118 51 291 261 479 5 0 6 8 5 13 6 19 25 6 19 4
OTU_26 16 9 6 33 1 0 35 15 3 2 6 43 14 29 34 11 28 31 58 20 5 19 6
