SAMPLE.745.GA5.60 SAMPLE.747.GA6.60 SAMPLE.749.GA7.60 SAMPLE.751.GA8.60 SAMPLE.753.GP.5.60 SAMPLE.755.GP.6.60 SAMPLE.757.GP.7.60 SAMPLE.759.GP.8.60 SAMPLE.761.GF.II.5.60 SAMPLE.763.GF.II6.60 SAMPLE.765.GF.II.7.60 SAMPLE.841.MA5.60 SAMPLE.843.MA6.60 SAMPLE.845.MA7.60 SAMPLE.847.MA8.60 SAMPLE.849.MP.5.60 SAMPLE.851.MP.6.60 SAMPLE.853.MP.7.60 SAMPLE.855.MP.8.60 SAMPLE.857.MF.II.5.60 SAMPLE.859.MF.II6.60 SAMPLE.861.MF.II.7.60 SAMPLE.863.MF.II.8.60
OTU_1 19 6 6 26 21 13 13 12 1924 39 1470 23 5 30 36 20 9 20 26 36 36 51 21
OTU_2 16 20 15 37 801 87 459 142 5 16 24 27 15 20 65 31 62 21 43 617 275 831 508
OTU_3 2 2 0 8 8 5 14 97 6 10 10 69 20 18 430 196 386 226 669 5 3 10 7
OTU_4 4 7 2 5 6 6 1 4 27 1743 11 10 2 9 10 5 5 5 4 9 5 15 4
OTU_5 5 0 1 4 6 4 5 10 1 6 6 10 2 4 7 6 4 7 3 746 4 11 879
OTU_6 7 1 3 9 7 2 2 9 6 4 9 7 1 14 8 3 7 13 6 8 15 1549 5
OTU_7 99 237 174 355 7 5 23 6 2 3 3 16 0 176 10 5 5 2 44 8 9 13 3
OTU_8 19 36 24 74 95 37 73 26 1 7 5 18 2 18 19 20 9 20 13 223 215 212 54
OTU_9 0 3 3 7 4 1 1 4 4 736 9 8 0 3 5 4 2 7 5 3 5 4 2
OTU_10 6 58 54 218 73 70 170 99 1 1 6 4 3 5 2 4 77 20 33 20 11 7 4
OTU_11 2 5 2 4 5 2 0 4 2 3 7 2 106 4 4 5 1 3 2 7 0 5 3
OTU_12 102 13 18 56 48 10 52 13 2 5 0 7 0 4 5 14 25 30 9 2 4 1 2
OTU_13 0 0 1 3 3 0 3 1 2 2 1 8 171 195 6 2 1 9 1 5 2 7 11
OTU_14 20 3 3 11 5 4 2 2 0 3 0 74 23 28 58 220 93 66 145 6 1 4 4
OTU_15 5 1 3 7 49 0 4 4 97 140 296 1 1 2 2 1 2 3 2 1 3 3 3
OTU_16 1 0 3 2 3 0 2 2 14 652 24 5 0 2 1 2 3 3 4 3 0 1 4
OTU_17 1 0 3 3 0 1 1 1 2 5 1 3 0 2 2 1 0 2 3 48 5 3 0
OTU_18 5 1 1 4 0 3 0 0 2 165 3 3 0 2 5 1 0 2 1 14 4 142 3
OTU_19 1 0 0 0 0 2 0 0 0 1 0 0 0 3 18 4 2 3 1 32 93 50 94
OTU_20 3 1 3 1 7 8 7 14 0 0 4 8 4 10 16 11 528 3 76 4 2 0 5
OTU_21 3 1 0 2 0 2 0 0 1 0 3 0 2 1 22 1 1 2 3 118 13 43 161
OTU_22 0 1 0 1 2 1 1 2 1 551 3 3 1 1 2 0 2 2 2 1 3 2 2
